Node Name,Op Type,Activation,Weights,Bias
/model.4/model.4.6/Reshape_1,Reshape,UINT8,,
/model.5/branch1/branch1.0/Conv,Conv,UINT8,INT8,INT8
/model.5/branch2/branch2.0/Conv,Conv,UINT8,INT8,INT8
/model.5/branch1/branch1.2/Conv,Conv,UINT8,INT8,INT8
/model.5/branch2/branch2.3/Conv,Conv,UINT8,INT8,INT8
/model.5/branch2/branch2.5/Conv,Conv,UINT8,INT8,INT8
/model.5/Concat,Concat,UINT8,,
/model.5/Reshape,Reshape,UINT8,,
/model.5/Transpose,Transpose,UINT8,,
/model.5/Reshape_1,Reshape,UINT8,,
/model.6/model.6.0/Slice,Slice,UINT8,,
/model.6/model.6.0/Slice_1,Slice,UINT8,,
/model.6/model.6.0/branch2/branch2.0/Conv,Conv,UINT8,INT8,INT8
/model.6/model.6.0/branch2/branch2.3/Conv,Conv,UINT8,INT8,INT8
/model.6/model.6.0/branch2/branch2.5/Conv,Conv,UINT8,INT8,INT8
/model.6/model.6.0/Concat,Concat,UINT8,,
/model.6/model.6.0/Reshape,Reshape,UINT8,,
/model.6/model.6.0/Transpose,Transpose,UINT8,,
/model.6/model.6.0/Reshape_1,Reshape,UINT8,,
/model.6/model.6.1/Slice,Slice,UINT8,,
/model.6/model.6.1/Slice_1,Slice,UINT8,,
/model.6/model.6.1/branch2/branch2.0/Conv,Conv,UINT8,INT8,INT8
/model.6/model.6.1/branch2/branch2.3/Conv,Conv,UINT8,INT8,INT8
/model.6/model.6.1/branch2/branch2.5/Conv,Conv,UINT8,INT8,INT8
/model.6/model.6.1/Concat,Concat,UINT8,,
/model.6/model.6.1/Reshape,Reshape,UINT8,,
/model.6/model.6.1/Transpose,Transpose,UINT8,,
/model.6/model.6.1/Reshape_1,Reshape,UINT8,,
/model.6/model.6.2/Slice,Slice,UINT8,,
/model.6/model.6.2/Slice_1,Slice,UINT8,,
/model.6/model.6.2/branch2/branch2.0/Conv,Conv,UINT8,INT8,INT8
/model.6/model.6.2/branch2/branch2.3/Conv,Conv,UINT8,INT8,INT8
/model.6/model.6.2/branch2/branch2.5/Conv,Conv,UINT8,INT8,INT8
/model.6/model.6.2/Concat,Concat,UINT8,,
/model.6/model.6.2/Reshape,Reshape,UINT8,,
/model.6/model.6.2/Transpose,Transpose,UINT8,,
/model.6/model.6.2/Reshape_1,Reshape,UINT8,,
/model.7/conv/Conv,Conv,UINT8,INT8,INT8
/model.8/Resize,Resize,UINT8,,
/model.9/Concat,Concat,UINT8,,
/model.10/cv1/conv/Conv,Conv,UINT8,INT8,INT8
/model.10/cv2/conv/Conv,Conv,UINT8,INT8,INT8
/model.10/m/m.0/cv1/conv/Conv,Conv,UINT8,INT8,INT8
/model.10/m/m.0/cv2/conv/Conv,Conv,UINT8,INT8,INT8
/model.10/Concat,Concat,UINT8,,
/model.10/cv3/conv/Conv,Conv,UINT8,INT8,INT8
/model.11/conv/Conv,Conv,UINT8,INT8,INT8
/model.12/Resize,Resize,UINT8,,
/model.13/Concat,Concat,UINT8,,
/model.14/cv1/conv/Conv,Conv,UINT8,INT8,INT8
/model.14/cv2/conv/Conv,Conv,UINT8,INT8,INT8
/model.14/m/m.0/cv1/conv/Conv,Conv,UINT8,INT8,INT8
/model.14/m/m.0/cv2/conv/Conv,Conv,UINT8,INT8,INT8
/model.14/Concat,Concat,UINT8,,
/model.14/cv3/conv/Conv,Conv,UINT8,INT8,INT8
/model.15/conv/Conv,Conv,UINT8,INT8,INT8
/model.21/m.0/Conv,Conv,UINT8,INT8,INT8
/model.21/Reshape,Reshape,UINT8,,
/model.16/Concat,Concat,UINT8,,
/model.21/Transpose,Transpose,UINT8,,
/model.17/cv1/conv/Conv,Conv,UINT8,INT8,INT8
/model.17/cv2/conv/Conv,Conv,UINT8,INT8,INT8
/model.17/m/m.0/cv1/conv/Conv,Conv,UINT8,INT8,INT8
/model.17/m/m.0/cv2/conv/Conv,Conv,UINT8,INT8,INT8
/model.17/Concat,Concat,UINT8,,
/model.17/cv3/conv/Conv,Conv,UINT8,INT8,INT8
/model.18/conv/Conv,Conv,UINT8,INT8,INT8
/model.21/m.1/Conv,Conv,UINT8,INT8,INT8
/model.21/Reshape_1,Reshape,UINT8,,
/model.19/Concat,Concat,UINT8,,
/model.21/Transpose_1,Transpose,UINT8,,
/model.20/cv1/conv/Conv,Conv,UINT8,INT8,INT8
/model.20/cv2/conv/Conv,Conv,UINT8,INT8,INT8
/model.20/m/m.0/cv1/conv/Conv,Conv,UINT8,INT8,INT8
/model.20/m/m.0/cv2/conv/Conv,Conv,UINT8,INT8,INT8
/model.20/Concat,Concat,UINT8,,
/model.20/cv3/conv/Conv,Conv,UINT8,INT8,INT8
/model.21/m.2/Conv,Conv,UINT8,INT8,INT8
/model.21/Reshape_2,Reshape,UINT8,,
/model.21/Transpose_2,Transpose,UINT8,,

Op Type,Activation,Weights,Bias
Conv,UINT8(85),INT8(85),INT8(85)
MaxPool,UINT8(1),,
Concat,UINT8(25),,
Reshape,UINT8(35),,
Transpose,UINT8(19),,
Slice,UINT8(26),,
Resize,UINT8(2),,
